dt_sismo,fecha_sismo,hora_sismo,latitude,longitude,profundidad,mag,ubicacion,pais
2023-05-11 22:32:59.674000+00:00,2023-05-11,22:32:59.674000,-22.2513,-70.1987,35.0,4.1,"17 km S of Tocopilla, Chile",Chile
2023-05-12 14:51:54.775000+00:00,2023-05-12,14:51:54.775000,-30.277,-71.3702,46.092,4.2,"36 km S of Coquimbo, Chile",Chile
2023-05-13 04:51:25.967000+00:00,2023-05-13,04:51:25.967000,-38.0581,-73.6489,25.261,4.6,"36 km SW of Cañete, Chile",Chile
2023-05-15 06:18:33.977000+00:00,2023-05-15,06:18:33.977000,-36.8135,-73.7896,24.919,4.3,"Near the coast of Bio-Bio, Chile",Chile
2023-05-16 00:53:38.369000+00:00,2023-05-16,00:53:38.369000,-20.8379,-70.2842,27.062,4.1,"63 km SSW of La Tirana, Chile",Chile
2023-05-18 08:34:28.173000+00:00,2023-05-18,08:34:28.173000,-33.9593,-71.5539,42.993,3.3,"40 km S of San Antonio, Chile",Chile
2023-05-19 19:38:23.025000+00:00,2023-05-19,19:38:23.025000,-30.5972,-71.4654,64.648,4.6,"25 km W of Ovalle, Chile",Chile
2023-05-20 07:16:16.143000+00:00,2023-05-20,07:16:16.143000,-36.5182,-72.6502,57.248,4.2,"28 km SSW of Quirihue, Chile",Chile
2023-05-23 12:29:32.976000+00:00,2023-05-23,12:29:32.976000,-36.7964,-73.65,22.512,4.5,"Near the coast of Bio-Bio, Chile",Chile
2023-05-23 21:01:57.686000+00:00,2023-05-23,21:01:57.686000,-29.5951,-71.6585,51.472,4.2,"50 km NW of Coquimbo, Chile",Chile
2023-05-23 22:57:32.459000+00:00,2023-05-23,22:57:32.459000,-36.7946,-73.7195,16.65,4.6,"54 km W of Talcahuano, Chile",Chile
2023-05-23 23:18:20.037000+00:00,2023-05-23,23:18:20.037000,-36.7862,-73.7152,18.835,4.4,"53 km W of Talcahuano, Chile",Chile
2023-05-24 03:14:28.665000+00:00,2023-05-24,03:14:28.665000,-31.6553,-70.1567,113.664,4.2,"77 km E of Salamanca, Chile",Chile
2023-05-24 12:54:53.686000+00:00,2023-05-24,12:54:53.686000,-36.7199,-73.7256,18.033,4.1,"54 km W of Talcahuano, Chile",Chile
2023-05-24 18:28:55.846000+00:00,2023-05-24,18:28:55.846000,-38.3835,-75.3185,9.758,4.4,"169 km WSW of Lebu, Chile",Chile
2023-05-27 16:50:40.546000+00:00,2023-05-27,16:50:40.546000,-45.5581,-77.0296,10.0,4.3,"Off the coast of Aisen, Chile",Chile
2023-05-28 02:06:18.902000+00:00,2023-05-28,02:06:18.902000,-23.4118,-70.0668,37.536,4.3,,Chile
2023-05-30 06:35:17.500000+00:00,2023-05-30,06:35:17.500000,-29.4203,-71.3563,43.474,4.3,"54 km N of La Serena, Chile",Chile
2023-05-30 16:51:35.377000+00:00,2023-05-30,16:51:35.377000,-20.7038,-70.6344,24.602,5.5,"Near the coast of Tarapaca, Chile",Chile
2023-05-30 18:15:52.393000+00:00,2023-05-30,18:15:52.393000,-35.5735,-74.5237,3.975,4.3,"Off the coast of Maule, Chile",Chile
2023-06-04 07:30:42.433000+00:00,2023-06-04,07:30:42.433000,-28.3746,-70.8935,78.338,4.3,"25 km NNW of Vallenar, Chile",Chile
2023-06-04 08:45:02.447000+00:00,2023-06-04,08:45:02.447000,-23.0677,-70.2624,35.0,4.3,,Chile
2023-06-05 21:33:57.678000+00:00,2023-06-05,21:33:57.678000,-21.443,-70.0735,78.523,4.3,"73 km N of Tocopilla, Chile",Chile
2023-06-07 01:47:29.102000+00:00,2023-06-07,01:47:29.102000,-32.4946,-71.8016,35.0,4.0,,Chile
2023-06-07 14:54:06.684000+00:00,2023-06-07,14:54:06.684000,-35.8278,-73.6095,10.0,4.4,"105 km NNW of Tomé, Chile",Chile
2023-06-10 13:21:06.820000+00:00,2023-06-10,13:21:06.820000,-30.7151,-71.5667,43.657,4.7,"37 km WSW of Ovalle, Chile",Chile
2023-06-14 05:38:28.495000+00:00,2023-06-14,05:38:28.495000,-35.7387,-73.6164,23.393,4.2,,Chile
2023-06-14 15:29:37.743000+00:00,2023-06-14,15:29:37.743000,-35.732,-73.5752,23.434,4.2,"Off the coast of Maule, Chile",Chile
